abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
,58e4c0447c459f24986d8796,1282,By RACHEL RABKIN PEACHMAN,article,Ask Well; Is Chewing Gum Good for Toddlers? Or Anyone?,"['Chewing Gum', 'Teeth and Dentistry', 'Children and Childhood', 'Advertising and Marketing']",3,Well,6,05-04-2017 10:00,Family,"In the early 1900s, Wrigley pitched its products as being good for children’s teeth.",The New York Times,News,https://www.nytimes.com/2017/04/05/well/family/is-chewing-gum-good-for-toddlers-or-anyone.html
,58e4c28f7c459f24986d879e,1138,By JONATHAN WOLFE,article,New York Today: Another Thorny Commute,[],3,Metro,0,05-04-2017 10:10,Unknown,"Wednesday: Service changes for your trip to work, advice on escalators, and the opening of the American Museum of Natural History.",The New York Times,briefing,https://www.nytimes.com/2017/04/05/nyregion/new-york-today-another-thorny-commute.html
,58e4d28e7c459f24986d87c9,1385,By KATHERINE SCHULTEN,article,Our Eighth Annual Found Poem Student Contest,[],66,Learning,0,05-04-2017 11:18,Unknown,It’s easy: Just “find” some poetry in a Times article — any Times article. Teachers across the curriculum tell us it’s a great way to encourage close reading.,The New York Times,News,https://www.nytimes.com/2017/04/05/learning/our-eighth-annual-found-poem-student-contest.html
,58e4f7347c459f24986d883a,1447,By ANDREW DAS,article,"U.S. Women’s Soccer Team Wins More, Not Equal, Pay","['Soccer', ""United States Women's National Soccer Team"", 'United States Soccer Federation', 'Collective Bargaining', 'Wages and Salaries']",3,Sports,10,05-04-2017 13:54,Soccer,"The deal, which runs through 2021, guarantees the players improved pay and bonuses, but not the equal pay with the men’s team they had sought.",The New York Times,News,https://www.nytimes.com/2017/04/05/sports/soccer/uswnt-us-soccer-labor-deal-contract.html
,58e4f8d37c459f24986d8841,767,By C. J. CHIVERS,article,Is There Really a Security Rationale for Banning Laptops on Planes?,"['Airport Security', 'Terrorism', 'Aviation Accidents, Safety and Disasters', 'Daallo Airlines']",3,Magazine,0,05-04-2017 14:01,Unknown,"The publicly available evidence had been limited, and not entirely convincing. But one recent report raised the possibility of a remarkable threat.",The New York Times,News,https://www.nytimes.com/2017/04/05/magazine/is-there-really-a-security-rationale-for-banning-laptops-on-planes.html
,58e5052e7c459f24986d886a,760,By JEFFREY GETTLEMAN,article,Seeking the Truths Locked Inside a Child Soldier,"['War Crimes, Genocide and Crimes Against Humanity', 'Child Soldiers', 'Humanitarian Aid', 'Africa', 'South Sudan']",3,Insider,2,05-04-2017 14:54,Unknown,"Thousands of children are fighting on front lines across the world, but there may be no area where the problem is as pernicious as the beat I cover.",The New York Times,News,https://www.nytimes.com/2017/04/05/insider/seeking-the-truths-locked-inside-a-child-soldier.html
,58e50d837c459f24986d8886,635,By DANIEL VICTOR,article,Pepsi Drops Ad Accused of Trivializing Protesters,"['Pepsico Inc', 'Online Advertising', 'Blacks', 'Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'Soft Drinks', 'Jenner, Kendall']",3,Business,7,05-04-2017 15:30,Unknown,The beverage company apologized for an ad featuring Kendall Jenner giving a smiling officer a soda at a protest.,The New York Times,News,https://www.nytimes.com/2017/04/05/business/kendall-jenner-pepsi-ad.html
,58e511b67c459f24986d8898,919,By FLORENCE FABRICANT,article,Eleven Madison Park Tops List of World’s 50 Best Restaurants,"['Eleven Madison Park (Manhattan, NY, Restaurant)', 'Melbourne (Australia)', ""World's 50 Best Restaurants"", 'Restaurants', 'Cooking and Cookbooks', 'Chefs']",3,Dining,0,05-04-2017 15:48,Unknown,The New York restaurant rises to first place from third in the 2017 rankings by hundreds of judges.,The New York Times,News,https://www.nytimes.com/2017/04/05/dining/worlds-50-best-restaurants-eleven-madison-park.html
,58e517587c459f24986d88ae,1385,"By PETER BAKER, MAGGIE HABERMAN and GLENN THRUSH",article,Bannon Removed From Committee on U.S. Security,"['Bannon, Stephen K', 'National Security Council', 'Trump, Donald J', 'McMaster, H R', 'United States Politics and Government']",3,National,1,05-04-2017 16:11,Politics,"The shift, orchestrated by Lt. Gen. H. R. McMaster, will also restore the positions of senior military and intelligence officials who had been downgraded.",The New York Times,News,https://www.nytimes.com/2017/04/05/us/politics/national-security-council-stephen-bannon.html
,58e51ebf7c459f24986d88c8,1279,By RANDI DAVENPORT,article,The Hawk Can Soar,"['Disabilities', 'Hawks (Birds)', 'Chapel Hill (NC)']",3,OpEd,0,05-04-2017 16:43,Unknown,"I want to live as who I was, not as what this disease makes of me.",The New York Times,Op-Ed,https://www.nytimes.com/2017/04/05/opinion/i-am-more-than-my-disability.html
